Rk,Wk,Date,Time,Day,Winner,Winner_Pts,,Loser,Loser_Pts,Notes
1,1,Aug 26 2023,5:30 PM,Sat,Jacksonville State,17,,Texas-El Paso,14,
2,1,Aug 26 2023,9:00 PM,Sat,Louisiana Tech,22,,Florida International,17,
3,1,Aug 26 2023,7:00 PM,Sat,Massachusetts,41,@,New Mexico State,30,
4,1,Aug 26 2023,2:30 PM,Sat,(13) Notre Dame,42,N,Navy,3,
5,1,Aug 26 2023,7:00 PM,Sat,San Diego State,20,,Ohio,13,
6,1,Aug 26 2023,8:00 PM,Sat,(6) Southern California,56,,San Jose State,28,
7,1,Aug 26 2023,7:30 PM,Sat,Vanderbilt,35,,Hawaii,28,
8,2,Aug 31 2023,8:00 PM,Thu,Alabama-Birmingham,35,,North Carolina A&T,6,
9,2,Aug 31 2023,10:00 PM,Thu,Arizona State,24,,Southern Utah,21,
10,2,Aug 31 2023,7:00 PM,Thu,Central Florida,56,,Kent State,6,
11,2,Aug 31 2023,7:00 PM,Thu,Georgia State,42,,Rhode Island,35,
12,2,Aug 31 2023,8:00 PM,Thu,Minnesota,13,,Nebraska,10,
13,2,Aug 31 2023,8:00 PM,Thu,Missouri,35,,South Dakota,10,
14,2,Aug 31 2023,7:30 PM,Thu,North Carolina State,24,@,Connecticut,14,
15,2,Aug 31 2023,8:00 PM,Thu,Tulsa,42,,Arkansas-Pine Bluff,7,
16,2,Aug 31 2023,8:00 PM,Thu,(14) Utah,24,,Florida,11,
17,2,Aug 31 2023,7:00 PM,Thu,Wake Forest,37,,Elon,17,
18,2,Aug 31 2023,7:00 PM,Thu,Western Michigan,35,,St. Francis (PA),17,
19,2,Sep 1 2023,6:30 PM,Fri,Eastern Michigan,33,,Howard,23,
20,2,Sep 1 2023,8:00 PM,Fri,Kansas,48,,Missouri State,17,
21,2,Sep 1 2023,7:30 PM,Fri,Louisville,39,N,Georgia Tech,34,
22,2,Sep 1 2023,7:00 PM,Fri,Miami (FL),38,,Miami (OH),3,
23,2,Sep 1 2023,7:00 PM,Fri,Michigan State,31,,Central Michigan,7,
24,2,Sep 1 2023,11:00 PM,Fri,Stanford,37,@,Hawaii,24,
25,2,Sep 2 2023,1:00 PM,Sat,Air Force,42,,Robert Morris,7,
26,2,Sep 2 2023,7:30 PM,Sat,(4) Alabama,56,,Middle Tennessee State,7,
27,2,Sep 2 2023,3:30 PM,Sat,Appalachian State,45,,Gardner-Webb,24,
28,2,Sep 2 2023,10:00 PM,Sat,Arizona,38,,Northern Arizona,3,
29,2,Sep 2 2023,4:00 PM,Sat,Arkansas,56,,Western Carolina,13,
30,2,Sep 2 2023,3:30 PM,Sat,Auburn,59,,Massachusetts,14,
31,2,Sep 2 2023,10:15 PM,Sat,Brigham Young,14,,Sam Houston State,0,
32,2,Sep 2 2023,4:00 PM,Sat,California,58,@,North Texas,21,
33,2,Sep 2 2023,6:00 PM,Sat,Charlotte,24,,South Carolina State,3,
34,2,Sep 2 2023,3:30 PM,Sat,Cincinnati,66,,Eastern Kentucky,13,
35,2,Sep 2 2023,12:00 PM,Sat,Colorado,45,@,(17) Texas Christian,42,
36,2,Sep 2 2023,6:00 PM,Sat,Florida Atlantic,42,,Monmouth,20,
37,2,Sep 2 2023,6:30 PM,Sat,Florida International,14,,Maine,12,
38,2,Sep 2 2023,12:00 PM,Sat,Fresno State,39,@,Purdue,35,
39,2,Sep 2 2023,6:00 PM,Sat,(1) Georgia,48,,Tennessee-Martin,7,
40,2,Sep 2 2023,6:00 PM,Sat,Georgia Southern,34,,Citadel,0,
41,2,Sep 2 2023,7:00 PM,Sat,Houston,17,,Texas-San Antonio,14,
42,2,Sep 2 2023,7:30 PM,Sat,Illinois,30,,Toledo,28,
43,2,Sep 2 2023,12:03 PM,Sat,(25) Iowa,24,,Utah State,14,
44,2,Sep 2 2023,2:00 PM,Sat,Iowa State,30,,Northern Iowa,9,
45,2,Sep 2 2023,2:00 PM,Sat,Jacksonville State,49,,East Tennessee State,3,
46,2,Sep 2 2023,6:00 PM,Sat,James Madison,38,,Bucknell,3,
47,2,Sep 2 2023,7:00 PM,Sat,(16) Kansas State,45,,Southeast Missouri State,0,
48,2,Sep 2 2023,12:00 PM,Sat,Kentucky,44,,Ball State,14,
49,2,Sep 2 2023,12:00 PM,Sat,Liberty,34,,Bowling Green,24,
50,2,Sep 2 2023,8:30 PM,Sat,Louisiana,38,,Northwestern State,13,
51,2,Sep 2 2023,7:00 PM,Sat,Louisiana-Monroe,17,,Army,13,
52,2,Sep 2 2023,6:00 PM,Sat,Marshall,21,,Albany,17,
53,2,Sep 2 2023,3:30 PM,Sat,Maryland,38,,Towson,6,
54,2,Sep 2 2023,7:00 PM,Sat,Memphis,56,,Bethune-Cookman,14,
55,2,Sep 2 2023,12:00 PM,Sat,(2) Michigan,30,,East Carolina,3,
56,2,Sep 2 2023,2:00 PM,Sat,(22) Mississippi,73,,Mercer,7,
57,2,Sep 2 2023,4:00 PM,Sat,Mississippi State,48,,Southeastern Louisiana,7,
58,2,Sep 2 2023,4:00 PM,Sat,Nevada-Las Vegas,44,,Bryant,14,
59,2,Sep 2 2023,9:00 PM,Sat,New Mexico State,58,,Western Illinois,21,
60,2,Sep 2 2023,7:30 PM,Sat,(21) North Carolina,31,N,South Carolina,17,
61,2,Sep 2 2023,12:00 PM,Sat,Northern Illinois,27,@,Boston College,24,
62,2,Sep 2 2023,3:30 PM,Sat,(13) Notre Dame,56,,Tennessee State,3,
63,2,Sep 2 2023,2:00 PM,Sat,Ohio,27,,Long Island,10,
64,2,Sep 2 2023,3:30 PM,Sat,(3) Ohio State,23,@,Indiana,3,
65,2,Sep 2 2023,12:00 PM,Sat,(20) Oklahoma,73,,Arkansas State,0,
66,2,Sep 2 2023,7:00 PM,Sat,Oklahoma State,27,,Central Arkansas,13,
67,2,Sep 2 2023,3:00 PM,Sat,(15) Oregon,81,,Portland State,7,
68,2,Sep 2 2023,7:30 PM,Sat,(7) Penn State,38,,West Virginia,15,
69,2,Sep 2 2023,3:30 PM,Sat,Pittsburgh,45,,Wofford,7,
70,2,Sep 2 2023,10:30 PM,Sat,San Diego State,36,,Idaho State,28,
71,2,Sep 2 2023,6:30 PM,Sat,(6) Southern California,66,,Nevada,14,
72,2,Sep 2 2023,12:00 PM,Sat,Southern Methodist,38,,Louisiana Tech,14,
73,2,Sep 2 2023,7:00 PM,Sat,Southern Mississippi,40,,Alcorn State,14,
74,2,Sep 2 2023,4:00 PM,Sat,Syracuse,65,,Colgate,0,
75,2,Sep 2 2023,2:00 PM,Sat,Temple,24,,Akron,21,
